id,categoria,pergunta,resposta,rota,ok,fonte
"35","SAUDACAO","eae?","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"36","SAUDACAO","eae por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"37","SAUDACAO","hey","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"38","SAUDACAO","hey?","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"39","SAUDACAO","hey por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"40","SAUDACAO","salve","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"41","SAUDACAO","salve?","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"42","SAUDACAO","salve por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"43","SAUDACAO","fala aí","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"44","SAUDACAO","fala aí?","Oi! Sou o Tuma IA, assistente de criação de artes da FYT. O que você precisa hoje?","identity","true","deterministic"
"45","SAUDACAO","fala aí por favor","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"46","IDENTIDADE","qual seu nome","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"47","IDENTIDADE","oi qual seu nome","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"48","IDENTIDADE","bom dia qual seu nome","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"49","IDENTIDADE","e aí qual seu nome","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"50","IDENTIDADE","qualseunome","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"51","IDENTIDADE","como você se chama","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"52","IDENTIDADE","oi como você se chama","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"53","IDENTIDADE","bom dia como você se chama","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"54","IDENTIDADE","e aí como você se chama","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"55","IDENTIDADE","como voce se chama","Meu nome é Tuma IA — assistente de criação de artes da FYT.","identity","true","deterministic"
"56","IDENTIDADE","quem é você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"57","IDENTIDADE","oi quem é você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"58","IDENTIDADE","bom dia quem é você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"59","IDENTIDADE","e aí quem é você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"60","IDENTIDADE","quem é voce","Sou o Tuma IA, assistente de criação de artes da FYT. Ajudo com posts e conteúdo pro Instagram — falo como alguém do marketing de vocês.","identity","true","deterministic"
"61","IDENTIDADE","quem é vc","Sou o Tuma IA, assistente de criação de artes da FYT. Ajudo com posts e conteúdo pro Instagram — falo como alguém do marketing de vocês.","identity","true","deterministic"
"62","IDENTIDADE","oi quem é vc","Sou o Tuma IA, assistente de criação de artes da FYT. Ajudo com posts e conteúdo pro Instagram — falo como alguém do marketing de vocês.","identity","true","deterministic"
"63","IDENTIDADE","bom dia quem é vc","Sou o Tuma IA, assistente de criação de artes da FYT. Ajudo com posts e conteúdo pro Instagram — falo como alguém do marketing de vocês.","identity","true","deterministic"
"64","IDENTIDADE","e aí quem é vc","Sou o Tuma IA, assistente de criação de artes da FYT. Ajudo com posts e conteúdo pro Instagram — falo como alguém do marketing de vocês.","identity","true","deterministic"
"65","IDENTIDADE","quemévc","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"66","IDENTIDADE","vc é quem","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"67","IDENTIDADE","oi vc é quem","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"68","IDENTIDADE","bom dia vc é quem","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"69","IDENTIDADE","e aí vc é quem","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"70","IDENTIDADE","vcéquem","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"71","IDENTIDADE","o que é vc","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"72","IDENTIDADE","oi o que é vc","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"73","IDENTIDADE","bom dia o que é vc","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"74","IDENTIDADE","e aí o que é vc","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"75","IDENTIDADE","oqueévc","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"76","IDENTIDADE","o que você faz","Ajudo a FYT com posts e artes pro Instagram usando as fotos de Mídias, tiro dúvidas sobre produtos do acervo e sobre o cadastro da empresa.","identity","true","deterministic"
"77","IDENTIDADE","oi o que você faz","Ajudo a FYT com posts e artes pro Instagram usando as fotos de Mídias, tiro dúvidas sobre produtos do acervo e sobre o cadastro da empresa.","identity","true","deterministic"
"78","IDENTIDADE","bom dia o que você faz","Ajudo a FYT com posts e artes pro Instagram usando as fotos de Mídias, tiro dúvidas sobre produtos do acervo e sobre o cadastro da empresa.","identity","true","deterministic"
"79","IDENTIDADE","e aí o que você faz","Ajudo a FYT com posts e artes pro Instagram usando as fotos de Mídias, tiro dúvidas sobre produtos do acervo e sobre o cadastro da empresa.","identity","true","deterministic"
"80","IDENTIDADE","o que voce faz","Ajudo a FYT com posts e artes pro Instagram usando as fotos de Mídias, tiro dúvidas sobre produtos do acervo e sobre o cadastro da empresa.","identity","true","deterministic"
"81","IDENTIDADE","pra que vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"82","IDENTIDADE","oi pra que vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"83","IDENTIDADE","bom dia pra que vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"84","IDENTIDADE","e aí pra que vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"85","IDENTIDADE","praquevcserve","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"86","IDENTIDADE","para oq vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"87","IDENTIDADE","oi para oq vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"88","IDENTIDADE","bom dia para oq vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"89","IDENTIDADE","e aí para oq vc serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"90","IDENTIDADE","paraoqvcserve","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"91","IDENTIDADE","para que você serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"92","IDENTIDADE","oi para que você serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"93","IDENTIDADE","bom dia para que você serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"94","IDENTIDADE","e aí para que você serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"95","IDENTIDADE","para que voce serve","Sirvo a FYT no marketing visual: listo produtos das fotos em Mídias, explico a empresa e contextos cadastrados, e monto posts/artes pro Instagram. Quando você pedir uma arte, o painel mostra o resumo antes da prévia.","identity","true","deterministic"
"96","IDENTIDADE","fala sobre você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"97","IDENTIDADE","oi fala sobre você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"98","IDENTIDADE","bom dia fala sobre você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"99","IDENTIDADE","e aí fala sobre você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"100","IDENTIDADE","fala sobre voce","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"101","IDENTIDADE","se apresenta","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"102","IDENTIDADE","oi se apresenta","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"103","IDENTIDADE","bom dia se apresenta","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"104","IDENTIDADE","e aí se apresenta","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"105","IDENTIDADE","seapresenta","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"106","IDENTIDADE","me fala de você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"107","IDENTIDADE","oi me fala de você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"108","IDENTIDADE","bom dia me fala de você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"109","IDENTIDADE","e aí me fala de você","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"110","IDENTIDADE","me fala de voce","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"111","IDENTIDADE","quem tá falando","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"112","IDENTIDADE","oi quem tá falando","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"113","IDENTIDADE","bom dia quem tá falando","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"114","IDENTIDADE","e aí quem tá falando","Sou o Tuma IA, da FYT — ajudo com posts, artes e o que tem cadastrado em Mídias.","identity","true","deterministic"
"115","IDENTIDADE","quemtáfalando","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"116","IDENTIDADE","quem te criou","Fui criado por Diego Suhai Navarro.","identity","true","deterministic"
"117","IDENTIDADE","oi quem te criou","Fui criado por Diego Suhai Navarro.","identity","true","deterministic"
"118","IDENTIDADE","bom dia quem te criou","Fui criado por Diego Suhai Navarro.","identity","true","deterministic"
"119","IDENTIDADE","e aí quem te criou","Fui criado por Diego Suhai Navarro.","identity","true","deterministic"
"120","IDENTIDADE","quemtecriou","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"121","IDENTIDADE","o que significa tuma","O nome Tuma vem do suaíli (swahili) e significa «enviar». Sou a IA de conteúdo do TumaIA.","identity","true","deterministic"
"122","IDENTIDADE","oi o que significa tuma","O nome Tuma vem do suaíli (swahili) e significa «enviar». Sou a IA de conteúdo do TumaIA.","identity","true","deterministic"
"123","IDENTIDADE","bom dia o que significa tuma","O nome Tuma vem do suaíli (swahili) e significa «enviar». Sou a IA de conteúdo do TumaIA.","identity","true","deterministic"
"124","IDENTIDADE","e aí o que significa tuma","O nome Tuma vem do suaíli (swahili) e significa «enviar». Sou a IA de conteúdo do TumaIA.","identity","true","deterministic"
"125","IDENTIDADE","oquesignificatuma","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"126","IDENTIDADE","como funciona","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"127","IDENTIDADE","oi como funciona","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"128","IDENTIDADE","bom dia como funciona","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"129","IDENTIDADE","e aí como funciona","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"130","IDENTIDADE","comofunciona","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"131","IDENTIDADE","como funciona o chat","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"132","IDENTIDADE","oi como funciona o chat","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"133","IDENTIDADE","bom dia como funciona o chat","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"134","IDENTIDADE","e aí como funciona o chat","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"135","IDENTIDADE","comofuncionaochat","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"136","IDENTIDADE","como funciona o painel","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"137","IDENTIDADE","oi como funciona o painel","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"138","IDENTIDADE","bom dia como funciona o painel","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"139","IDENTIDADE","e aí como funciona o painel","Você conversa comigo aqui; para arte, o painel da FYT mostra um resumo do pedido antes da prévia. Produtos e campanhas vêm do que está em Mídias e Contextos.","identity","true","deterministic"
"140","IDENTIDADE","comofuncionaopainel","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"141","IDENTIDADE","você consegue me ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"142","IDENTIDADE","oi você consegue me ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"143","IDENTIDADE","bom dia você consegue me ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"144","IDENTIDADE","e aí você consegue me ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"145","IDENTIDADE","voce consegue me ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"146","IDENTIDADE","vc consegue","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"147","IDENTIDADE","oi vc consegue","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"148","IDENTIDADE","bom dia vc consegue","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"149","IDENTIDADE","e aí vc consegue","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"150","IDENTIDADE","vcconsegue","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"151","IDENTIDADE","consegue ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"152","IDENTIDADE","oi consegue ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"153","IDENTIDADE","bom dia consegue ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"154","IDENTIDADE","e aí consegue ajudar","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"155","IDENTIDADE","consegueajudar","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"156","IDENTIDADE","dá pra fazer arte aqui","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"157","IDENTIDADE","oi dá pra fazer arte aqui","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"158","IDENTIDADE","bom dia dá pra fazer arte aqui","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"159","IDENTIDADE","e aí dá pra fazer arte aqui","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"160","IDENTIDADE","dáprafazerarteaqui","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"161","IDENTIDADE","como faço pra pedir um post","Escreve o que quer — produto, formato, texto — tipo «monta um post do whey pro feed». Eu monto o resumo no painel da FYT pra você confirmar antes da prévia.","identity","true","deterministic"
"162","IDENTIDADE","oi como faço pra pedir um post","Escreve o que quer — produto, formato, texto — tipo «monta um post do whey pro feed». Eu monto o resumo no painel da FYT pra você confirmar antes da prévia.","identity","true","deterministic"
"163","IDENTIDADE","bom dia como faço pra pedir um post","Escreve o que quer — produto, formato, texto — tipo «monta um post do whey pro feed». Eu monto o resumo no painel da FYT pra você confirmar antes da prévia.","identity","true","deterministic"
"164","IDENTIDADE","e aí como faço pra pedir um post","Escreve o que quer — produto, formato, texto — tipo «monta um post do whey pro feed». Eu monto o resumo no painel da FYT pra você confirmar antes da prévia.","identity","true","deterministic"
"165","IDENTIDADE","comofaçoprapedirumpost","Na FYT posso ajudar com Mídias, posts e informações cadastradas — o que você precisa?","canonical","true","canonical"
"166","IDENTIDADE","se eu pedir uma postagem você ajuda","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"167","IDENTIDADE","oi se eu pedir uma postagem você ajuda","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"168","IDENTIDADE","bom dia se eu pedir uma postagem você ajuda","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"169","IDENTIDADE","e aí se eu pedir uma postagem você ajuda","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"170","IDENTIDADE","se eu pedir uma postagem voce ajuda","Consigo sim! Ajudo a FYT com posts, artes e produtos do acervo em Mídias — é só dizer o que você precisa.","identity","true","deterministic"
"171","ACERVO_LISTA","quais produtos temos","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
"172","ACERVO_LISTA","oi quais produtos temos","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
"173","ACERVO_LISTA","preciso saber quais produtos temos","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
"174","ACERVO_LISTA","lista o acervo","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
"175","ACERVO_LISTA","oi lista o acervo","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
"176","ACERVO_LISTA","preciso saber lista o acervo","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
"177","ACERVO_LISTA","o que temos em mídias","No acervo da FYT temos 4 produtos:

• creatina growth
• monster
• powerade
• whey de chocolate

Quer montar post de algum deles?","acervo","true","deterministic"
