id,mensagem,intencao,continua_anterior,contexto_assistente_anterior,deve_conter,nao_deve_conter,notas
"47","tem estoque?","INFO_PRODUTO","nao","","","musculação genérica","Consultar mídias"
"48","valeu","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"49","obrigado","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"50","obrigada","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"51","show","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"52","perfeito","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"53","tchau","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"54","até mais","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"55","falou","AGRADECIMENTO","nao","","chamar|aqui|Perfeito","produtos:|menu|1.","Fechamento curto"
"56","não era isso","CORRECAO_USUARIO","nao","","Entendi|desculpa","musculação|lista completa",""
"57","entendeu errado","CORRECAO_USUARIO","nao","","Entendi","musculação|lista completa",""
"58","para de repetir","CORRECAO_USUARIO","nao","","Entendi|direto","musculação|lista completa",""
"59","não era isso só queria seu nome","CORRECAO_USUARIO","nao","","Tuma IA","musculação|lista completa",""
"60","já falei","CORRECAO_USUARIO","nao","","Entendi","musculação|lista completa",""
"61","não perguntei isso","CORRECAO_USUARIO","nao","","Entendi","musculação|lista completa",""
"62","oi, quem é vc e como funciona?","COMPOSITO","nao","","Tuma|funciona|painel|Mídias","suplementos","Três tópicos"
"63","oi qual seu nome e quais produtos","COMPOSITO","nao","","Tuma","só produtos sem nome","Nome antes ou junto sem ignorar identidade"
"64","quais produtos temos?","LISTAR_PRODUTOS","nao","","","Olá!",""
"65","tem monster?","INFO_PRODUTO","sim","Temos whey de chocolate e Monster no acervo.","Monster|não","Olá!|lista inteira de 20",""
"66","valeu","AGRADECIMENTO","sim","Sim, temos Monster.","","produtos:",""
"67","fala sobre a empresa","INFO_EMPRESA","sim","Produtos: whey, Monster, creatina.","empresa|segmento","repetir lista produtos",""
"68","qual seu nome","IDENTIDADE_TUMA","sim","Quer montar post no Instagram?","Tuma IA","produtos:|Instagram",""
"69","e os produtos?","LISTAR_PRODUTOS","sim","Meu nome é Tuma IA.","","Tuma IA|Olá",""
"70","não era isso só queria seu nome","CORRECAO_USUARIO","sim","Nossos produtos incluem suplementos de musculação.","Tuma IA","musculação|produtos:",""
"71","qual seu nome","IDENTIDADE_TUMA","nao","","Tuma","whey|monster|produtos","Armadilha anti-genérico"
"72","quem é você","IDENTIDADE_TUMA","nao","","Tuma","suplementos de musculação","Armadilha anti-genérico"
"73","oi","SAUDACAO","nao","","Tuma","planeja post|Instagram com","Armadilha anti-genérico"
"74","quais produtos","LISTAR_PRODUTOS","nao","","","hidratação e recuperação","Armadilha anti-genérico"
"75","você consegue?","DUVIDA_CAPACIDADE","nao","","Consigo","resumo do pedido já está pronto","Armadilha anti-genérico"
"76","e aí quem fala","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"77","o que é vc","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"78","quem é vc","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"79","me explica quem é você","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"80","fala de voce","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"81","apresentação","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"82","qual é seu nome","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"83","seu nome é o que","IDENTIDADE_TUMA","nao","","Tuma","produtos:|acervo",""
"84","lista produtos","LISTAR_PRODUTOS","nao","","","musculação|genérico",""
"85","mostra o acervo","LISTAR_PRODUTOS","nao","","","musculação|genérico",""
"86","quais mídias temos","LISTAR_PRODUTOS","nao","","","musculação|genérico",""
"87","o que tem cadastrado","LISTAR_PRODUTOS","nao","","","musculação|genérico",""
"88","produto disponível","LISTAR_PRODUTOS","nao","","","musculação|genérico",""
"89","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"90","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
"91","bom dia tudo bem","SAUDACAO","nao","","Tuma","produtos",""
"92","como você funciona","COMO_FUNCIONA","nao","","painel|resumo","empresa em sessão",""
"93","vc ajuda com post?","DUVIDA_CAPACIDADE","nao","","Ajudo|post","gerando prévia agora",""
"94","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"95","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
"96","bom dia tudo bem","SAUDACAO","nao","","Tuma","produtos",""
"97","como você funciona","COMO_FUNCIONA","nao","","painel|resumo","empresa em sessão",""
"98","vc ajuda com post?","DUVIDA_CAPACIDADE","nao","","Ajudo|post","gerando prévia agora",""
"99","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"100","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
"101","bom dia tudo bem","SAUDACAO","nao","","Tuma","produtos",""
"102","como você funciona","COMO_FUNCIONA","nao","","painel|resumo","empresa em sessão",""
"103","vc ajuda com post?","DUVIDA_CAPACIDADE","nao","","Ajudo|post","gerando prévia agora",""
"104","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"105","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
"106","bom dia tudo bem","SAUDACAO","nao","","Tuma","produtos",""
"107","como você funciona","COMO_FUNCIONA","nao","","painel|resumo","empresa em sessão",""
"108","vc ajuda com post?","DUVIDA_CAPACIDADE","nao","","Ajudo|post","gerando prévia agora",""
"109","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"110","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
"111","bom dia tudo bem","SAUDACAO","nao","","Tuma","produtos",""
"112","como você funciona","COMO_FUNCIONA","nao","","painel|resumo","empresa em sessão",""
"113","vc ajuda com post?","DUVIDA_CAPACIDADE","nao","","Ajudo|post","gerando prévia agora",""
"114","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"115","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
"116","bom dia tudo bem","SAUDACAO","nao","","Tuma","produtos",""
"117","como você funciona","COMO_FUNCIONA","nao","","painel|resumo","empresa em sessão",""
"118","vc ajuda com post?","DUVIDA_CAPACIDADE","nao","","Ajudo|post","gerando prévia agora",""
"119","tem powerade?","INFO_PRODUTO","nao","","powerade|não encontrei","musculação",""
"120","obrigado pela ajuda","AGRADECIMENTO","nao","","","menu",""
